event_id,date,location,lat,lon,deaths,flood_cause,rain_day_minus_0,rain_day_minus_1,rain_day_minus_2,rain_day_minus_3,rain_day_minus_4,rain_day_minus_5,rain_day_minus_6,elevation_m,slope_deg,soil_compname,soil_muname,is_karst,KSI_fast,KSI_slow,KSI_combined,is_flood,flood_event_id
666332,11/20/2016,VEGA ALTA CO.,18.4191,-66.3104,0,Heavy Rain,35.465,14.53,11.48,21.45,0.0,0.0,0.0,47,7.97,San Sebastian,"San Sebastian gravelly clay, 20 to 60 percent slopes",1,37.64168519987065,70.66106299191557,50.84943631668862,1,666332
681238,02/04/2017,HATILLO CO.,18.4779,-66.8058,0,Heavy Rain,6.695,0.0,6.855,0.55,0.52,0.0,0.0,48,0.73,Colinas,"Colinas clay loam, 12 to 20 percent slopes",1,6.820553704582273,12.4983217491172,9.091660922396244,1,681238
681254,02/04/2017,HATILLO CO.,18.4739,-66.7761,0,Heavy Rain,6.26,0.0,7.79,0.0,0.0,0.0,0.0,60,3.35,Colinas,"Colinas clay loam, 12 to 20 percent slopes",1,6.402678826943239,12.114008113056478,8.687210541388534,1,681254
688401,04/11/2017,SAN SEBASTIAN CO.,18.3301,-66.9178,1,Heavy Rain,23.035,0.36,4.06,0.0,0.0,0.0,0.0,295,9.72,Soller,"Soller clay, 20 to 40 percent slopes",1,23.15808219585344,26.39807385379573,24.454078859030357,1,688401
695346,04/17/2017,CAROLINA CO.,18.4312,-66.0084,0,Heavy Rain,33.735,1.44,0.0,0.0,3.05,15.135,0.235,3,0.58,Urban land,Urban land,1,33.92988280786072,44.2146350838925,38.04378371827343,1,695346
696260,04/17/2017,CAROLINA CO.,18.4187,-65.999,0,Heavy Rain,25.26,0.645,0.135,2.31,2.6,19.585,0.455,0,0.0,Made land,Made land,1,25.349763868937593,38.67444006722689,30.67963434825331,1,696260
696261,04/17/2017,CAROLINA CO.,18.3943,-65.9658,0,Heavy Rain,37.995,6.995,0.52,3.285,1.49,22.91,0.78,5,0.93,Made land,Made land,1,38.951194438462245,58.977396647010565,46.96167532188157,1,696261
696265,04/17/2017,CAROLINA CO.,18.4276,-66.0133,0,Heavy Rain,33.735,1.44,0.0,0.0,3.05,15.135,0.235,1,0.58,Urban land,Urban land,1,33.92988280786072,44.2146350838925,38.04378371827343,1,696265
696266,04/17/2017,RIO GRANDE CO.,18.348,-65.7664,0,Heavy Rain,33.575,0.385,1.39,2.35,3.485,17.555,7.145,38,6.1,Humatas,"Humatas clay, 20 to 40 percent slopes",0,33.65256282210144,50.07827368505761,40.22284716728391,1,696266
696270,04/17/2017,RIO GRANDE CO.,18.2913,-65.8145,0,Heavy Rain,26.14,4.33,1.175,1.18,0.565,8.735,1.815,880,14.17,Yunque,"Yunque-Moteado complex, 20 to 60 percent slopes",1,26.7475226521088,36.910714063236426,30.812799216559853,1,696270
696285,04/17/2017,VEGA ALTA CO.,18.4025,-66.3411,0,Heavy Rain,34.26,1.605,0.0,0.0,1.185,3.39,16.805,69,15.04,San Sebastian,"San Sebastian gravelly clay, 20 to 60 percent slopes",1,34.47721312959476,45.11166190117745,38.73099263822783,1,696285
696272,04/17/2017,NAGUABO CO.,18.2124,-65.7714,0,Heavy Rain,25.12,2.945,1.145,1.76,7.035,5.835,3.965,13,1.15,Coloso,"Coloso silty clay loam, 0 to 2 percent slopes, occasionally flooded",0,25.539533815659425,38.19183556153865,30.600454514011115,1,696272
696290,04/17/2017,FAJARDO CO.,18.3195,-65.656,0,Heavy Rain,9.015,0.13,0.715,0.545,5.195,5.025,4.36,9,0.26,Vega Baja,"Vega Baja silty clay loam, 0 to 3 percent slopes",0,9.045689268626203,17.26395776812628,12.332996668426237,1,696290
696500,04/17/2017,COMERIO CO.,18.2376,-66.2065,0,Heavy Rain,44.655,13.595,4.35,0.14,2.265,3.085,0.505,238,15.02,Caguabo,"Caguabo-Rock outcrop complex, 20 to 60 percent slopes",1,46.574556204767745,62.8039635931832,53.06631916013393,1,696500
698056,05/11/2017,SAN LORENZO CO.,18.1798,-65.9786,0,Heavy Rain,8.28,4.57,36.685,6.37,0.0,0.0,0.18,130,2.2,Pandura,"Pandura sandy loam, 12 to 20 percent slopes",1,9.570391457024533,44.03563040701987,23.35648703702267,1,698056
699780,05/11/2017,MAUNABO CO.,18.016,-65.9293,0,Heavy Rain,6.28,2.125,20.17,10.24,0.0,0.0,0.0,21,1.03,Reilly,Reilly soils,0,6.937013913263571,29.950148487415667,16.14226774292441,1,699780
703582,05/11/2017,MAUNABO CO.,18.01,-65.9249,0,Heavy Rain,6.28,2.125,20.17,10.24,0.0,0.0,0.0,19,0.58,Coloso,"Coloso silty clay, 0 to 2 percent slopes, occasionally flooded",0,6.937013913263571,29.950148487415667,16.14226774292441,1,703582
708505,06/14/2017,GUAYNABO CO.,18.4109,-66.1103,0,Heavy Rain,2.615,1.91,0.0,0.155,0.245,0.0,0.0,21,1.32,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,2.8734903909819307,4.510065782332061,3.528120547521983,1,708505
709391,06/14/2017,SAN JUAN CO.,18.3905,-66.0715,0,Heavy Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.23,24,2.32,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,0.0,0.0976057545056985,0.0390423018022794,1,709391
708510,06/14/2017,SAN JUAN CO.,18.3923,-66.0731,0,Heavy Rain,0.0,0.0,0.0,0.0,0.0,0.0,0.23,26,2.31,Urban land,"Urban land-Vega Alta complex, 2 to 12 percent slopes",1,0.0,0.0976057545056985,0.0390423018022794,1,708510
